Customer ID,recency_days,Frequency,Monetary,R_score,F_score,M_score,RFM_total,Segment
12347,3,8,5633.32,5,5,5,15,VIP
12362,4,11,5356.23,5,5,5,15,VIP
12380,22,11,9676.3,5,5,5,15,VIP
12388,16,8,3901.11,5,5,5,15,VIP
12395,20,15,5067.27,5,5,5,15,VIP
12415,25,28,144458.37,5,5,5,15,VIP
12417,4,20,6816.91,5,5,5,15,VIP
12423,1,10,2622.39,5,5,5,15,VIP
12428,26,9,7956.46,5,5,5,15,VIP
12429,10,8,7485.91,5,5,5,15,VIP
12433,1,10,20581.26,5,5,5,15,VIP
12437,2,39,12683.4,5,5,5,15,VIP
12451,11,8,12669.88,5,5,5,15,VIP
12471,3,79,39963.79,5,5,5,15,VIP
12474,18,31,12424.45,5,5,5,15,VIP
12476,16,23,14115.41,5,5,5,15,VIP
12477,23,9,20276.37,5,5,5,15,VIP
12481,23,15,12361.39,5,5,5,15,VIP
12483,18,19,5120.58,5,5,5,15,VIP
12490,6,21,9823.64,5,5,5,15,VIP
12500,24,19,5955.21,5,5,5,15,VIP
12523,20,23,4372.15,5,5,5,15,VIP
12524,10,17,11126.11,5,5,5,15,VIP
12539,23,7,11214.75,5,5,5,15,VIP
12540,20,33,22254.49,5,5,5,15,VIP
12553,9,12,4608.75,5,5,5,15,VIP
12557,17,8,18716.14,5,5,5,15,VIP
12562,9,9,4966.92,5,5,5,15,VIP
12567,23,15,13709.86,5,5,5,15,VIP
12569,3,32,4124.69,5,5,5,15,VIP
12583,3,27,14447.44,5,5,5,15,VIP
12584,4,9,2338.15,5,5,5,15,VIP
12598,10,11,4534.09,5,5,5,15,VIP
12615,3,8,5740.98,5,5,5,15,VIP
12619,17,10,3781.38,5,5,5,15,VIP
12621,2,35,24775.81,5,5,5,15,VIP
12626,24,9,6620.48,5,5,5,15,VIP
12627,11,7,4478.53,5,5,5,15,VIP
12647,23,36,17924.35,5,5,5,15,VIP
12656,18,8,6407.83,5,5,5,15,VIP
12662,1,20,6988.02,5,5,5,15,VIP
12664,9,11,6070.04,5,5,5,15,VIP
12668,12,10,11444.68,5,5,5,15,VIP
12670,11,7,3760.29,5,5,5,15,VIP
12676,25,11,2843.09,5,5,5,15,VIP
12681,15,45,30868.28,5,5,5,15,VIP
12682,4,52,24033.91,5,5,5,15,VIP
12683,5,21,12696.78,5,5,5,15,VIP
12704,8,8,2340.84,5,5,5,15,VIP
12705,16,14,11762.1,5,5,5,15,VIP
12709,16,34,31093.34,5,5,5,15,VIP
12714,10,12,14093.71,5,5,5,15,VIP
12720,3,30,8260.67,5,5,5,15,VIP
12724,6,7,2317.52,5,5,5,15,VIP
12727,11,10,5679.53,5,5,5,15,VIP
12731,24,17,25775.71,5,5,5,15,VIP
12747,3,26,9276.54,5,5,5,15,VIP
12748,1,337,56599.39,5,5,5,15,VIP
12749,4,9,6897.36,5,5,5,15,VIP
12757,16,13,7857.1,5,5,5,15,VIP
12766,4,9,10068.28,5,5,5,15,VIP
12782,5,11,4618.24,5,5,5,15,VIP
12820,4,11,2689.52,5,5,5,15,VIP
12826,3,12,2955.75,5,5,5,15,VIP
12839,3,26,10071.73,5,5,5,15,VIP
12841,5,40,7540.68,5,5,5,15,VIP
12877,4,20,2955.17,5,5,5,15,VIP
12901,9,28,17654.54,5,5,5,15,VIP
12910,24,13,5796.52,5,5,5,15,VIP
12913,5,13,6700.86,5,5,5,15,VIP
12921,10,74,35921.04,5,5,5,15,VIP
12931,22,57,92347.34,5,5,5,15,VIP
12935,3,15,4243.86,5,5,5,15,VIP
12937,16,9,3097.61,5,5,5,15,VIP
12948,17,9,2317.43,5,5,5,15,VIP
12951,9,15,3213.72,5,5,5,15,VIP
12955,2,11,4757.16,5,5,5,15,VIP
12957,10,13,8706.97,5,5,5,15,VIP
12963,9,12,3601.59,5,5,5,15,VIP
12971,4,116,15972.79,5,5,5,15,VIP
12989,4,33,13551.75,5,5,5,15,VIP
13001,5,33,24172.1,5,5,5,15,VIP
13004,12,36,11650.85,5,5,5,15,VIP
13012,10,11,2972.83,5,5,5,15,VIP
13013,2,29,12625.77,5,5,5,15,VIP
13014,11,11,5381.08,5,5,5,15,VIP
13018,17,35,9763.16,5,5,5,15,VIP
13021,5,17,4887.24,5,5,5,15,VIP
13048,15,9,4084.21,5,5,5,15,VIP
13050,15,35,12344.53,5,5,5,15,VIP
13069,1,38,9683.13,5,5,5,15,VIP
13077,2,11,3064.67,5,5,5,15,VIP
13078,4,57,29532.45,5,5,5,15,VIP
13081,12,28,59205.15,5,5,5,15,VIP
13089,3,203,116737.86,5,5,5,15,VIP
13090,9,24,14103.09,5,5,5,15,VIP
13094,22,13,2433.12,5,5,5,15,VIP
13098,2,28,28882.44,5,5,5,15,VIP
13102,2,37,11696.92,5,5,5,15,VIP
13113,1,37,18625.73,5,5,5,15,VIP
13115,12,10,5494.7,5,5,5,15,VIP
13117,22,18,2643.81,5,5,5,15,VIP
13118,20,9,2415.41,5,5,5,15,VIP
13126,5,13,3998.25,5,5,5,15,VIP
13131,24,7,3313.77,5,5,5,15,VIP
13137,11,16,7712.7,5,5,5,15,VIP
13139,17,8,8202.98,5,5,5,15,VIP
13173,5,11,2639.35,5,5,5,15,VIP
13174,17,12,9494.84,5,5,5,15,VIP
13183,8,15,7036.18,5,5,5,15,VIP
13196,12,7,3068.84,5,5,5,15,VIP
13198,11,8,4974.23,5,5,5,15,VIP
13199,4,67,16432.89,5,5,5,15,VIP
13203,10,10,2648.25,5,5,5,15,VIP
13211,11,10,2729.32,5,5,5,15,VIP
13225,4,16,16260.07,5,5,5,15,VIP
13230,5,30,6360.78,5,5,5,15,VIP
13246,19,11,3387.43,5,5,5,15,VIP
13263,2,39,8704.69,5,5,5,15,VIP
13266,12,19,6135.04,5,5,5,15,VIP
13267,3,36,9758.26,5,5,5,15,VIP
13268,18,11,3214.69,5,5,5,15,VIP
13269,2,28,8891.7,5,5,5,15,VIP
13297,8,7,4368.62,5,5,5,15,VIP
13305,5,16,3754.71,5,5,5,15,VIP
13313,23,12,3445.32,5,5,5,15,VIP
13319,6,58,22082.5,5,5,5,15,VIP
13362,10,7,5394.07,5,5,5,15,VIP
13394,2,19,6621.7,5,5,5,15,VIP
13408,2,106,51733.46,5,5,5,15,VIP
13418,12,31,12233.6,5,5,5,15,VIP
13426,1,22,8167.38,5,5,5,15,VIP
13435,6,9,4475.23,5,5,5,15,VIP
13437,15,7,3408.06,5,5,5,15,VIP
13448,17,13,9240.87,5,5,5,15,VIP
13458,8,16,11959.27,5,5,5,15,VIP
13468,2,72,13390.51,5,5,5,15,VIP
13488,18,23,15587.88,5,5,5,15,VIP
13495,8,10,5374.26,5,5,5,15,VIP
13510,2,11,4558.29,5,5,5,15,VIP
